,name,description,category
270,Emmerdale reveals Vanessa’s heartbreaking diagnosis as Pierce Harris tightens his grip,"In devastating scenes this evening (Monday 17th February), Vanessa Woodfield (Michelle Hardwick) unveiled her cancer diagnosis. She has been held captive by evil Pierce Harris (Jonathan Wrather) who is causing havoc around Emmerdale. Her worrying news was disclosed to us by Pierce and due to her situation, she can’t get the support she needs ...",Health
424,"Amid corporate success, Prepaid Financial Services is making diversity a priority","PFS is a fast-paced, dynamic organisation. Its ability to move quickly sets it apart from other fintech companies, making it the first choice for businesses that need to stay ahead of the curve Prepaid Financial Services (PFS) has helped shape financial technology in Europe. In 2019, the pace of growth at the company meant it needed to expand ...",ScienceAndTechnology
131,A growing number of landlords opting for two-year fixed rate products,"There was a notable increase in the percentage of landlords selecting shorter-term buy-to-let mortgage products in the final quarter of last year compared to the same period in 2018. According to Mortgages for Business, the percentage of landlords opting for two-year fixed rate buy-to-let mortgage products hit a 12-month high in Q4 2019.",Business
161,EastEnders boss Kate Oates teases ‘serious consequences’ to Friday’s shock death,"EASTENDERS boss Kate Oates has teased the explosive week of episodes and the heartbreaking death for the 35th anniversary. The head of continuing drama at the BBC revealed this week's episode will leave Walford changed forever as well as celebrating the past. Speaking at today's screening of the thrilling episodes, Kate told The Sun Online: ""I ...",Entertainment
37,Michael Palin on how his heart surgery has given new meaning to life,"Michael Palin during the BFI & Radio Times TV Festival at BFI Southbank on April 7, 2017 in London, England. (Photo by Eamonn M. McCormack/Getty Images) Sheffield-born globetrotter and Monty Python star Sir Michael Palin has never been afraid to send up ...",World
219,Love Island cancel Sunday night's show following death of Caroline Flack,"However, it will be back in its regular slot on Monday night ITV's Love Island will not air tonight (Sun, Feb 16) as the broadcaster has chosen to pull the episode following yesterday's news Caroline Flack has died. Caroline, who presented the first five seasons of the ITV2 show, was found at her home on Saturday (Feb 15). The Saturday night ...",Entertainment
485,Alibaba's DingTalk gets bad grades from China's stuck-at-home students,"SHANGHAI (Reuters) - Alibaba Group's <BABA.N> communication app DingTalk has begged China's school students to stop venting anger on the software after they gave it poor grades when made to use it to attend online classes. Millions of Chinese are stuck at home because of the coronavirus outbreak, which has killed 1,770 so far in mainland China.",ScienceAndTechnology
296,Savills rolls out cannabis plans for UK farmers looking to export,"Property giant Savills is teaming up with cannabis specialists to launch a one-stop-shop for growers in the UK looking to cash in on exporting the drug to countries where medicinal versions are widely available. The estate agent, better known for selling mansions in Mayfair, has joined forces with cannabis consultancy Hanway Associates and ...",Health
519,Chelsea 0-2 Man Utd: 5 talking points as Red Devils blow top four race wide open,Manchester United gave their Champions League hopes a shot in the arm and left Chelsea looking over their shoulders with a 2-0 win at Stamford Bridge. The Red Devils won a scrappy encounter via Anthony Martial and Harry Maguire headers either side of the ...,Sports
38,British trader who triggered US stock market crash spared prison as his crimes weren’t motivated by greed,A US judge has sentenced a British maths whiz-turned-futures trader who helped trigger a US stock market “flash crash” from his parents’ suburban London house to time served and a year’s home confinement Navinder Singh Sarao was spared a prison term after prosecutors praised his co-operation and said his crimes were unmotivated by greed.,World
619,Woman 'conceived by rape' claim leads to arrest,"A man has been arrested and released under investigation, in the case of a woman who claims her own birth is proof her father was a rapist. ""Vicky"" alleges her mother was aged 13, under the age of consent, when her father - a family friend who she claims was in his 30s - raped her. She believes DNA testing would enable police to formally ...",UK
510,Warning to parents as bizarre new Tik Tok trend sees kids drink nothing but food colouring 'to turn their urine blue',"Tik Tok has become a fast growing social media sensation - but some users are taking it a little too far. The social media app, similar to the once popular Vine, allows users to make short videos to share with a growing audience, which can be musical, educational, humorous, or just plain dangerous - as the latest trend has proved. Sorry, there ...",ScienceAndTechnology
465,Amazon boss Bezos launches $10 bn fund to combat climate change,"Jeff Bezos, founder and CEO of Amazon and the world's richest man, said Monday he was committing $10 billion to a new fund to tackle climate change. In a post to his 1.4 million followers on Instagram, the e-commerce tycoon said the Bezos Earth Fund would ""fund scientists, activists, NGOs -- any effort that offers a real possibility to help ...",ScienceAndTechnology
